"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.company.CalcLib.parser (String)","202 ms (35.2%)","158 ms (32.8%)","327 ms (18.5%)","269 ms (18.1%)","1,006"
"com.company.CalcLib$DoublyLinkedList.getTail ()","112 ms (19.6%)","99.6 ms (20.5%)","112 ms (6.4%)","99.6 ms (6.7%)","9,010"
"profiling.Profile.main (String[])","92.8 ms (16.2%)","81.7 ms (16.9%)","575 ms (32.5%)","485 ms (32.6%)","1"
"com.company.CalcLib.main (String)","66.6 ms (11.6%)","62.7 ms (12.9%)","482 ms (27.2%)","403 ms (27.1%)","1,006"
"com.company.CalcLib$DoublyLinkedList.findOperator (char, boolean)","35.7 ms (6.2%)","27.3 ms (5.6%)","35.7 ms (2%)","27.3 ms (1.8%)","29,131"
"com.company.CalcLib.calculate (com.company.CalcLib.DoublyLinkedList)","16.5 ms (2.9%)","13.0 ms (2.7%)","59.1 ms (3.3%)","46.1 ms (3.1%)","1,006"
"com.company.CalcLib.validate (com.company.CalcLib.DoublyLinkedList)","14.1 ms (2.5%)","12.0 ms (2.5%)","26.2 ms (1.5%)","22.7 ms (1.5%)","1,006"
"com.company.CalcLib$DoublyLinkedList.append (char, double)","12.3 ms (2.1%)","10.6 ms (2.2%)","125 ms (7.1%)","110 ms (7.4%)","9,010"
"com.company.CalcLib$DoublyLinkedList.writeInResult (double, boolean)","4.66 ms (0.8%)","4.47 ms (0.9%)","9.12 ms (0.5%)","7.54 ms (0.5%)","4,002"
"com.company.CalcLib$DoublyLinkedList.remove (com.company.CalcLib.DoublyLinkedList.Node)","4.45 ms (0.8%)","3.6 ms (0.6%)","4.45 ms (0.3%)","3.6 ms (0.2%)","8,004"
"com.company.CalcLib$DoublyLinkedList.getSecondOperand ()","3.8 ms (0.5%)","2.82 ms (0.6%)","3.8 ms (0.2%)","2.82 ms (0.2%)","7,011"
"com.company.CalcLib$DoublyLinkedList.resetCurrentNode ()","2.11 ms (0.4%)","2.8 ms (0.4%)","2.11 ms (0.1%)","2.8 ms (0.1%)","6,036"
"com.company.CalcLib$DoublyLinkedList.getFirstOperand ()","1.57 ms (0.3%)","1.51 ms (0.3%)","1.57 ms (0.1%)","1.51 ms (0.1%)","4,004"
"com.company.CalcLib.isNatural (double)","1.44 ms (0.3%)","1.44 ms (0.3%)","1.44 ms (0.1%)","1.44 ms (0.1%)","1,006"
"com.company.CalcLib$DoublyLinkedList.isNextNodeAnOperator ()","1.63 ms (0.3%)","1.29 ms (0.3%)","1.63 ms (0.1%)","1.29 ms (0.1%)","3,003"
"com.company.CalcLib$DoublyLinkedList.changeSecondOperand (double)","0.775 ms (0.1%)","0.767 ms (0.2%)","0.775 ms (0%)","0.767 ms (0.1%)","1,003"
"com.company.CalcLib$DoublyLinkedList.getHeadNum ()","0.552 ms (0.1%)","0.542 ms (0.1%)","0.552 ms (0%)","0.542 ms (0%)","1,006"
"com.company.CalcLib$DoublyLinkedList.isRootOnly ()","0.453 ms (0.1%)","0.443 ms (0.1%)","0.453 ms (0%)","0.443 ms (0%)","1,006"
"com.company.CalcLib$DoublyLinkedList.changeOperator (char)","0.445 ms (0.1%)","0.419 ms (0.1%)","0.445 ms (0%)","0.419 ms (0%)","1,003"
